kulturcode,kulturart 2012,kulturart 2013,kulturart 2014,kulturart 2015,kulturart 2016,kulturart 2017,kulturart 2018,kulturart 2019,kulturart 2020,kulturart 2021,kulturart 2022,kulturart 2023,kulturart 2024,latest_kulturart,all_kulturart,take_latest,take_Gruppe,new_kulturart,new_kulturcode
120,,,,,,,,,,,,,,,,,,Dinkel,114
125,,,,,,,,,,,,,,,,,,Menggetreide ohne Weizen,126
126,,,,,,,,,,,,,,,,,,Menggetreide ohne Weizen,126
131,,,,,,,,,,,,,,,,,,Gerste,132
132,,,,,,,,,,,,,,,,,,Gerste,132
142,,,,,,,,,,,,,,,,,,Hafer,142
143,,,,,,,,,,,,,,,,,,Hafer,142
144,,,,,,,,,,,,,,,,,,Menggetreide ohne Weizen,126
150,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,Triticale,156
156,,,,,,,,,,,,,,,,,,Triticale,156
157,,,,,,,,,,,,,,,,,,Triticale,156
174,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,292
55,,,,Ufervegetation,Ufervegetation,Ufervegetation,Ufervegetation ÖVF,Ufervegetation ÖVF,Ufervegetation ÖVF,Ufervegetation ÖVF,Ufervegetation ÖVF,,,Ufervegetation ÖVF,"Ufervegetation, Ufervegetation ÖVF",,1,,
57,,,,,,,Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,Feldrand / Pufferstreifen ÖVF DGL,,,Feldrand / Pufferstreifen ÖVF DGL,"Pufferstreifen ÖVF DGL, Feldrand / Pufferstreifen ÖVF DGL",,1,,
58,,,,,,,Feldrand ÖVF,Feldrand / Pufferstreifen ÖVF AL,Feldrand / Pufferstreifen ÖVF AL,Feldrand / Pufferstreifen ÖVF AL,Feldrand / Pufferstreifen ÖVF AL,,,Feldrand / Pufferstreifen ÖVF AL,"Feldrand ÖVF, Feldrand / Pufferstreifen ÖVF AL",,1,,
60,,,,,,,Leguminosen ÖVF,Leguminosen ÖVF,Leguminosen ÖVF,Leguminosen ÖVF,Leguminosen ÖVF,Zwischenfrucht / Gründecke,,Zwischenfrucht / Gründecke,"Leguminosen ÖVF, Zwischenfrucht / Gründecke",,1,,
61,,,,,,,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Aufforstungsflächen ÖVF,Untersaat,,Untersaat,"Aufforstungsflächen ÖVF, Untersaat",,1,,
62,,,,,,,,Brachen ohne Erzeugung ÖVF,Brachen ohne Erzeugung ÖVF,Brachen ohne Erzeugung ÖVF,Brachen ohne Erzeugung ÖVF,GLÖZ8 nicht produktive Fläche (Selbstbegrünung),,GLÖZ8 nicht produktive Fläche (Selbstbegrünung),"Brachen ohne Erzeugung ÖVF, GLÖZ8 nicht produktive Fläche (Selbstbegrünung)",,1,,
